Serial No.,Acc. No.,Book Name,Author,Publication,Call No,ISBN,Price
228,995,Computer Networks 5E,"Andrew S Tanenbaum , David J Wetherall",Pearson Education,,978-81-317-8757-1,
229,998,Computer Networks 5E,"Andrew S Tanenbaum , David J Wetherall",Pearson Education,,978-81-317-8757-1,
230,999,Computer Networks 5E,"Andrew S Tanenbaum , David J Wetherall",Pearson Education,,978-81-317-8757-1,
231,168,Computer Networks A Systems Approach 4E,Larry L,MORGAN KAUFMANN PUB,004.6 PET-C,978-81-312-1045-1,425
232,463,Computer Networks A Systems Approach 4E,Larry L. Peterson And Bruce S. Davie,ELSEVIER INDIA PVT LTD,004.65 PET-C;4E,978-81-312-1045-1,425
233,847,Computer Objectives,Dr.S Swaminathan,KHANNA BOOK PUBLISHING CO.,,978-81-906758-8-8,350
234,1064,Computer Organisation,"Carl Hamacher, Zvonko Vranesic, safwat Zaky",McGraw Hill,,978-00-712-0411-8,
235,1065,Computer Organisation,"Carl Hamacher, Zvonko Vranesic, safwat Zaky",McGraw Hill,,978-00-712-0411-8,
236,114,Computer Organization & Architecture Designing For Performance 7E,Willliam Stallings,Pearson Education,004.22 STA-C;7E,81-7758-993-8,335
237,115,Computer Organization & Architecture Designing For Performance 7E,Willliam Stallings,Pearson Education,004.22 STA-C;7E,81-7758-993-8,335
238,777,Computer Organization 5E,"Carl Hamacher,Safwat Zaky",Mc Graw hill,004.22 HAM-C;5E,007-120411-3,
239,778,Computer Organization 5E,"Carl Hamacher,Safwat Zaky",Mc Graw hill,004.22 HAM-C;5E,007-120411-3,
240,881,Computer Organization 5E,"Carl Hamacher,Safwat Zaky",Mc Graw hill,004.22 HAM-C;5E,007-120411-3,
241,882,Computer Organization 5E,"Carl Hamacher,Safwat Zaky",Mc Graw hill,004.22 HAM-C;5E,007-120411-3,
242,883,Computer Organization 5E,"Carl Hamacher,Safwat Zaky",Mc Graw hill,004.22 HAM-C;5E,007-120411-3,
243,884,Computer Organization 5E,"Carl Hamacher,Safwat Zaky",Mc Graw hill,004.22 HAM-C;5E,007-120411-3,
244,14,Computer Organization 5E,"Carl Hamacher,Safwat Zaky",MsGraw-Hill Higher Education,004.22 HAM-C;5E,0-07-120411-3,
245,577,Computer Organization And  Architecture 8E,William Stallings,Pearson,004.22 STA-C;8E,978-81-317-3245-8,
246,181,Computer Organization And Design 3E,P.Pal Chaudhuri,PHI,004.21 CHA-C;3E,978-81-203-3511-0,425
247,817,Computer Oriented Numerical Methods,P Thangaraj,PHI,,978-81-203-3539-4,325
248,503,Computer Practice -1 3Ed,"T Jeyapoovan , Sanjay Saxena",Vikas publishing House,004 JEY-C;3E,81-259-1899-X,165
249,258,Computer Science A Structured Programming Approach Using C 3E,Behouz A Forouzan,Thomson,005.133 C FOR-C;3E,978-81-315-0363-1,
250,659,Computer Science C++,Sumita Arora,Dhanpat Rai & Co.,005.133 ARO-C,81-7700-009-X,120
251,82,Computer Science C++,"Sumita Arara,Gautam Sarkar",Dhanpat Rai & Co,005.133  ARA-C,81-7700-010-1,160
252,292,Computer Science With C++ 4 E,Sumita Arora,Dhanpat Rai & Co.,005.133  ARO -C;4,81-7700-010-1,
253,316,Computer Science With C++ 4 E,Sumita Arora,Dhanpat Rai & Co.,005.133  ARO -C;4,81-7700-010-1,
254,100,Computer System Architecture,M Morris Mano,Pearson Education,004.22 MAN-C,81-317-0070-4,220
255,381,Computer System Architecture,P V S Rao,PHI,004.22 RAO-C,978-81-203-3594-3,325
256,93,Computer System Architecture 3E,M .Morris Mano,PHI,004.22 MAN-C;3E,81-203-0855-7,
257,740,Computer System Architecture 3E,M .Morris Mano,PEARSON EDUCTAION,004.22 MAN-C;3E,81-7808-687-5,
258,787,Computer System Architecture 3E,M .Morris Mano,PHI,004.22 MAN-C;3E,978-81-203-0855-8,
259,885,Computer System Architecture 3E,M .MORRIS MANO,PEARSON EDUCTAION,004.22 MAN-C;3E,978-81-317-0070-9,
260,803,Computer System Organisation,Naresh Jotwani,Mc Graw Hill,004.22 JOT-C,978-0-07-008710-1,275
261,442,Concepts In Computing,Kenneth Hoganson,JONES AND BARTLETT,004 015 1 HOG-C,978-93-80108-15-5,295
262,769,Concepts Of Database Management 3E,"Philip J Pratt, Joseph J Adamski",Course Technology,005.74 PRA-C;3E,981-240-388-4,
263,214,Conqering Laziness,K M Phadke,Excel Books,,81-7446-068-3,100
264,481,Core Java  For Beginneres,Rashmi Kanta Das,Vikas Publishing House,005.133 KAN-C,978-81-259-3125-6,295
265,326,Core Java Volume 2 Advanced Feature 7E,"Cay S.Horstmann,Cary Cornell",Pearson Edu,005.133  HOR-C;7E,81-7758-199-6,599
266,486,Core Servlets And Java Server Pages 2E,"Marty Hall , Larry Brown",Pearson Education,005.133 HAL-C;2ED,978-81-317-2054-7,499
267,1049,"Cracking the C, C++ and Java Interview 2nd Edition","S.G Ganesh, Subhash K.U",Mc Graw Hill Education,,978-1-25-900609-8,
268,1051,Cracking the Coding Interview,Gayle Lakshmann Mcdowell 6E,"CareerCup, LLC,Palo Alto, CA",,978-0-9847828-5-7,
269,36,Cryptography & Network Security,Behrouz A.Forouzan,Tata McGraw-Hill,005.8 FOR-C,13:978-0-07-066046-5,
270,857,Cryptography And Networks Security,Sumita Tyagi,Dhanpat Rai & Co.,005.8 TYA-C,,
271,99,Cryptography And Networks Security Priciples And Practices 4E,Willliam Stallings,Pearson Education,005.8 STA-C;4E,978-81-7758-774-6,
272,337,Cryptography And Networks Security Principles And Practices 3E,William Stallings,PEARSON EDU,005.8 STA-C;3E,81-7758-011-6,
273,176,Cryptography And Networks Security Principles And Practices 4E,William Stallings,PEARSON EDU,005.8 STA-C;4,978-81-7758-774-6,285
274,10,Data And Computer Communications 8E,William Stallings,PHI,004.6 STA-D;8E,978-81-203-3078-8,395
275,430,Data And Text Mining A Business Applications Approach,Thomas W. Miller,Pearson Education,005.74 MIL-D,978-81-317-2100-1,175
276,428,Data Communication & Networking 2E,Behrouz A Forouzan,McGraw-Hill,004.65  FOR-D;2E,978-0-07-049935-5,
277,786,Data Communication & Networking 4E,Behrouz A Forouzan,McGraw-Hill,004.65  FOR-D;4E,978-0-07-063414-5,
278,996,Data Communication and networking 2E,Behrouz A Forouzan,Mc Graw Hill,,978-0-07-049935-5,
279,743,Data Communications & Networking 4E,Behrouz A Forouzan,Special Indian Edition,004.65  FOR-D;4E,13:978-0-07-063414-5,
280,511,Data Communications And Computer Networks For Computer Scientists And Engineers 2E,Michael Duck,Pearson Education,004.6 DUC-D;2E,978-81-317-2608-2,
281,368,Data Communications And Networking 3E,Behrouz A Forouzan,Special Indian Edition,004.65 FOR-D;3E,0-07-058408-7,295
282,170,Data Communications And Networking 4E,Behrouz A Forouzan,Special Indian Edition,004.65  FOR-D;4,13:978-0-07-063414-5,
283,78,Data Communications Computer Networks And Open Systems 4E,Fred Halsall,Pearson Education,004.6 HAL-D;4E,81-7808-098-2,
284,147,Data Minig,Pieter Adriaans,Pearson Education,006.312 ADR-D,81-317-0717-2,
285,394,Data Mining,Ian H.Witten And Eibe Frank,ELSEVIER INDIA PVT LTD,005.74WIT-D;2E,978-81-312-0050-6,425
286,453,Data Mining,Pieter Adriaans And Dolf Zantinge,Pearson Education,005.74 ADR-D,978-81-317-0717-3,235
287,417,Data Mining Concepts And Techniques 2 Ed,Jiawei Han And Micheline Kamber,ELSEVIER INDIA PVT LTD,005.74 HAN-D;2E,978-81-312-0535-8,450
288,992,Data Mining Concepts and Techniques 3E,"Jiawei Han , Micheline Kamber , Jian Pei",Morgan Kaufmann Publishers,005.74 HAN-D;3E,978-93-80931-91-3,
289,993,Data Mining Concepts and Techniques 3E,"Jiawei Han , Micheline Kamber , Jian Pei",Morgan Kaufmann Publishers,005.74 HAN-D;3E,978-93-80931-91-3,
290,994,Data Mining Concepts and Techniques 3E,"Jiawei Han , Micheline Kamber , Jian Pei",Morgan Kaufmann Publishers,005.74 HAN-D;3E,978-93-80931-91-3,
291,997,Data Mining Concepts and Techniques 3E,"Jiawei Han , Micheline Kamber , Jian Pei",Morgan Kaufmann Publishers,005.74 HAN-D;3E,978-93-80931-91-3,
292,1006,Data Mining Concepts and Techniques 3E,"Jiawei Han , Micheline Kamber , Jian Pei",Morgan Kaufmann Publishers,005.74 HAN-D;3E,978-93-80931-91-3,
293,1009,Data Mining Concepts and Techniques 3E,"Jiawei Han , Micheline Kamber , Jian Pei",Morgan Kaufmann Publishers,005.74 HAN-D;3E,978-93-80931-91-3,
294,1010,Data Mining Concepts and Techniques 3E,"Jiawei Han , Micheline Kamber , Jian Pei",Morgan Kaufmann Publishers,005.74 HAN-D;3E,978-93-80931-91-3,
295,1020,Data Mining Concepts and Techniques 3E,"Jiawei Han , Micheline Kamber , Jian Pei",Morgan Kaufmann Publishers,005.74 HAN-D;3E,978-93-80931-91-3,
296,1021,Data Mining Concepts and Techniques 3E,"Jiawei Han , Micheline Kamber , Jian Pei",Morgan Kaufmann Publishers,005.74 HAN-D;3E,978-93-80931-91-3,
297,1022,Data Mining Concepts and Techniques 3E,"Jiawei Han , Micheline Kamber , Jian Pei",Morgan Kaufmann Publishers,005.74 HAN-D;3E,978-93-80931-91-3,
298,1023,Data Mining Concepts and Techniques 3E,"Jiawei Han , Micheline Kamber , Jian Pei",Morgan Kaufmann Publishers,005.74 HAN-D;3E,978-93-80931-91-3,
299,1095,Data Mining Concepts and Techniques 3E,"Jiawei Han , Micheline Kamber , Jian Pei",MK  - Morgan Kaufmann Publishers,,978-93-80931-91-3,
300,72,Data Mining Indtroductory And Advanced Topics,Margaret H.Dunham,Pearson Education,005.74 DUN-D,81-7808-996-3,
301,132,"Data Mining Technologies, Techniques, Tools, And Trends",Bhavani Thuraisingham,CRC,006.312 THU-D,0-8493-1815-7,350
302,459,Data Mining; Methods And Techniques,A B M Shawkat Ali And Saleh A. Wasimi,CENGAGE LEARNING,005.74 SHA-D,978-81-315-0951-7,
303,238,Data Structure,Manik Sharma,Kalyani Publication,005.73 SHA-D,978-81-272-4202-2,70
304,153,Data Structures,Seymour Lipschutz,Tata Mcgraw-Hill,005.73 LIP-D,13:978-0-07-060168-0,265
305,700,Data Structures,Seymour Lipschutz,THE McGRAW-HILL COMPANIES,005.73 LIP-D,13:978-0-07-060168-0,265
306,1039,Data Structures A programming Approach With C,"Dharmender Singh Kushwaha, Arun Kumar Misra",PHI,005.73 SIN-D;2E,978-81-203-5029-8,495
307,418,Data Structures A Pseudocode Approach With C 2E,Richard F .Gilberg And Behrouz A,India Edition,005.73 GIL-D;2ED,978-81-315-0314-0,
308,901,Data Structures Algorithms And Applications In C++,Sartaj Sahni,Mc Graw Hill,005.73 SAH-D,0-07-118457-0,
309,955,Data Structures and Algorithms for Gate,Narasimha Karumanchi,Careermonk Publications,005.73 KAR-D,978-81-9210-750-9,
310,133,Data Structures Through C,Yashavant Kanetkar,Bpb Publications,005.73 KAN-D,81-7656-706-X,225
311,31,Data Structures Through C,G.S.Baluja,Dhanpat Rai &Co.(Pvt)Ltd,005.73 BAL-D,,150
312,281,Data Structures Through C,G.S Baluja,Dhanpat Rai & Co.,005.73BAL-D,,240
313,644,Data Structures Through C,G.S Baluja,Dhanpat Rai & Co.,005.73 BAL-D,,175
314,852,Data Structures Through C,G.S Baluja,Dhanpat Rai & Co.,005.73 BAL-D,,
315,959,Data Structures Through C,G.S Baluja,Dhanpat Rai & Co.,005.73 BAL-D,,310
316,47,Data Structures Through C++,G.S.Baluja,Dhanpat Rai &Co.(PVT)LTD,005.73 BAL-D,,165
317,742,Data Structures Through C++,G S Baluja,Dhanpat Rai & Co.,005.73 BAL-D,,200
318,54,Data Structures Using C,"Aaron M Tenenbaum,Yedidyah Langsam,Moshe J Augenstein",Pearson Education,005.73  TEN-D,81-297-0344-0,295
319,178,Data Structures Using C And C++,Yedidyah Langsam,Phi,005.73 LAN-D,978-81-203-1177-0,275
320,475,Data Structures Using C And C++,Rajesh K Shukla,Wiley India pvt Ltd,005.73 shu-d,978-81-265-1997-2,
321,915,Data Structures Using C and C++ 2E,Yedidyah Langsam,PHI,005.73 LAN-D;2E,81-203-1177-9,250
322,96,Data Structures Using C And C++ 2E,Yedidyah Langsam,PHI,005.73 LAN-D;2E,978-81-203-1177-0,275
323,388,Data Warehousing Fundamentals A Comprihensive Guide For It Professionals,Paulraj Ponniah,wiley india pvt Ltd,004.6 PON-D,978-81-265-0919-5,
324,544,Dataastructures And Object-Oriented Programming With C++,Rohit Khurana,Vikas publishing House,005.73 KHU - D,978-81-259-3939-9,610
325,846,Database Management And Oracle Programming,Dr.S S Khandare,S Chand Publications,005.74 KHA-D,81-219-2253-6,195
326,958,Database Management Systems,Udit Agarwal,Dhanpat Rai & Co.,005.74 AGA-D,978-81-7700-103-7,225
327,1037,Database Management Systems,"Raghu Ramakrishnan, Johannes Gehrke",Mc Graw Hill Education,005.74 RAM-D;3E,978-93-392-1311-4,
328,150,Database Management Systems 2E,Sharad Maheshwari,FIREWALLL MEDIA,005.74 MAH-D;2E,81-7008-953-0,350
329,582,Database Processing Fundamentals Design And Implementation,David M Kroenke,Person Education,005.74 KRO -D,978-81-775-8689-3,733
330,630,Database System Concepts 3E,Abraham Silberschatz,Mc Graw Hill,005.74 SIL-D;3E,0-07-114810-8,
331,249,Database System Concepts 5E,Abraham Silberschatz,MCGRAW HILL,005.74 SIL-D;5E,007-124476-X,
332,250,Database System Concepts 5E,Abraham Silberschatz,MCGRAW HILL,005.74 SIL-D;5E,007-124476-X,
333,305,Database System Concepts 5E,"Silberschatz, Korth, Sudarshan",Tata McGraw Hill,005.74  SIL-D,007-124476-X,
334,361,Database System Concepts 5E,Abraham Silberschatz,MCGRAW HILL,005.74 SIL-D;5E,007-124476-X,
335,531,Database System Concepts 5E,Abraham Silberschatz,MCGRAW HILL,005.74 SIL-D;5E,007-124476-X,
336,761,Database System Concepts 5E,Abraham Silberschatz,Mc Graw Hill,005.74 SIL-D;5E,007-124476-X,
337,762,Database System Concepts 5E,Abraham Silberschatz,Mc Graw Hill,005.74 SIL-D;5E,007-124476-X,
338,763,Database System Concepts 5E,Abraham Silberschatz,Mc Graw Hill,005.74 SIL-D;5E,007-124476-X,
339,764,Database System Concepts 5E,Abraham Silberschatz,Mc Graw Hill,005.74 SIL-D;5E,007-124476-X,
340,765,Database System Concepts 5E,Abraham Silberschatz,Mc Graw Hill,005.74 SIL-D;5E,007-124476-X,
341,766,Database System Concepts 5E,Abraham Silberschatz,Mc Graw Hill,005.74 SIL-D;5E,007-124476-X,
342,248,Database System Concepts 6E,Abraham Silberschatz,MCGRAW HILL,005.74 SIL-D;6E,978-007-132522-6,
343,875,Database System Concepts 6E,ABRAHAM SILBERSCHATZ,MCGRAW HILL,005.74 SIL-D;6E,978-007-132522-6,
344,876,Database System Concepts 6E,ABRAHAM SILBERSCHATZ,MCGRAW HILL,005.74 SIL-D;6E,978-007-132522-6,
345,877,Database System Concepts 6E,ABRAHAM SILBERSCHATZ,MCGRAW HILL,005.74 SIL-D;6E,978-007-132522-6,
346,878,Database System Concepts 6E,ABRAHAM SILBERSCHATZ,MCGRAW HILL,005.74 SIL-D;6E,978-007-132522-6,
347,833,Database Systems 2E,Shio Kumar Singh,Pearson Education,005.74 SIN-D;2E,978-81-317-6092-5,
348,259,Database Systems 3E,Paul Beynon,PALGRAVE MCMILLAN,005.74 BEY-D;3E,978-0-230-22693-7,
349,1041,"Database Systems Models, Languages Design and Application Programming","Ramez Elmasri, Shamkant b Navathe",Pearson,005.74 ELM-D;6E,978-81-317-9247-6,695
350,1038,"Database Systems Models, Languages Design and Application Programming","Ramez Elmasri, Shamkant b Navathe",Pearson,005.74 ELM-D;6E,978-93-325-3585-5,695
351,446,Database Systems Using Oracle A Simplified Guide To Sql And Pl / Sql 2 Ed,Nilesh Shah,PHI,005.74 SHA-D;2ED,978-81-203-3236-2,250
352,1071,"Database Systems: Models, languages, Design and Programming 6E","Ramez Elmasri, Shamkant B Navathe",Pearson,,978-81-317-9247-6,
353,1072,"Database Systems: Models, languages, Design and Programming 6E","Ramez Elmasri, Shamkant B Navathe",Pearson,,978-93-325-3585-5,
354,990,Databse System Concepts 6E,Abraham Silberschatz,Mc Graw Hill,,978-007-132522-6,
355,1058,DataStructure using C,E Balagurusamy,McGraw Hill,,978-1-25-902954-7,
356,174,Datastructures And Program Desingn In C,"Robert Kruse, C L Tondo",Phi,005.73  DATA,978-81-203-2097-0,295
357,525,Datastructures Through C,Yashavant Kanetkar,BPB PUBLICATIONS,,81-7656-706-X,225/-
358,758,Datastructures Through C In Depth,S K Srivastava & Deepali Srivastava,BPB,005.73 SRI-D,81-765-741-8,360
359,759,Datastructures Through C In Depth,S K Srivastava & Deepali Srivastava,BPB,005.73 SRI-D,81-765-741-8,360
360,760,Datastructures Through C In Depth,S K Srivastava & Deepali Srivastava,BPB,005.73 SRI-D,81-765-741-8,360
361,900,Datastructures Through C In Depth,S K Srivastava & Deepali Srivastava,BPB,005.73 SRI-D,81-765-741-8,360
362,414,Decision Making Using Microsoft Excel,"Albright, Winston  And Zappe",INDIA EDITION,650 WIN-D,978-81-315-1052-0,
363,560,Design And Analysis Of Algorithms,I Chandra Maohan,Phi,005.120 28 CHA-D,978-81-203-3517-2,150
364,121,Designing The User Interface Strategies For Effective Human-Computer Interaction 4E,Ben Shneiderman,Pearson Education,004.019 DES,978-81-317-2163-6,525
365,932,DEV275 Essentials of Visual Modelling with UML 2.0 Student Guide,IBM,IBM,005.12 DEV,,
366,944,DEV275 Essentials of Visual Modelling with UML 2.0 Student Guide,IBM,IBM,005.12 DEV,,
367,945,DEV275 Essentials of Visual Modelling with UML 2.0 Student Guide,IBM,IBM,005.12 DEV,,
368,946,DEV275 Essentials of Visual Modelling with UML 2.0 Student Guide,IBM,IBM,005.12 DEV,,
369,947,DEV275 Essentials of Visual Modelling with UML 2.0 Student Guide,IBM,IBM,005.12 DEV,,
370,948,DEV275 Essentials of Visual Modelling with UML 2.0 Student Guide,IBM,IBM,005.12 DEV,,
371,949,DEV275 Essentials of Visual Modelling with UML 2.0 Student Guide,IBM,IBM,005.12 DEV,,
372,950,DEV275 Essentials of Visual Modelling with UML 2.0 Student Guide,IBM,IBM,005.12 DEV,,
373,951,DEV275 Essentials of Visual Modelling with UML 2.0 Student Guide,IBM,IBM,005.12 DEV,,
374,952,DEV275 Essentials of Visual Modelling with UML 2.0 Student Guide,IBM,IBM,005.12 DEV,,
375,934,DEV395 Essentials of Rational Application Developer for WebSphere Software Student's Guide Vol.I Version 2005.01.00,IBM,IBM,005.1 DEV.1,,
376,928,DEV475 Mastering Object Oriented Analysis and design with UML2.0 Vol.I,IBM,IBM,005.12 DEV.1,,
377,929,DEV475 Mastering Object Oriented Analysis and design with UML2.0 Vol.II,IBM,IBM,005.12 DEV.2,,
378,488,Developing Secure Software,Jason Grembi,INDIA EDITION,005.12 GRE-D,978-81-315-0888-6,
379,269,Digital Circuits And Design 2E,S Salivahanan,Vikas Publishing House,621.395 SAL-D;2,81-259-1435-8,195
380,356,Digital Circuits And Design 2E,"S Salivahanam, S. Arivazhagan",Vikas Publishing House,621.395   SAL-D,81-259-1435-8,200
381,113,Digital Electronics,P Raja,Scitech Publication,621.381 5 RAJ-D,81 88429 85 6,290
382,739,Digital Electronics,C.Chinnapu Reddy,Radiant Publications House,621.381 CHI-D,,140
383,635,Digital Electronics And Logic Design,B.Somanathan Nair,Prentic-Hall of India,621.395  SOM-D,81-203-1956-7,225
384,648,Digital Electronics And Logic Design,B. Somanathan Nair,Prentice Hall Of India,621.381 SOM-D,81-203-1956-7,250
385,2,Digital Electronics And Logic Design,B.Somanathan Nair,Prentic-Hall Of India,621.395  SOM-D,,250
386,679,Digital Electronics Prinicipals And Integrated Circuits,Anil K Maini,Wiley India Edition,621.381 5 MAI-D,978-81-265-1466-3,299
387,519,Digital Fundamentals 3E,Thomas L. Floyd,Ubs,621.39 FLO-D;3E,81-85274-59 2,295/-
388,645,Digital Fundamentals 8E,Floyd & Jain,Pearson Education,621.39 FLO-D;8E,978-81-775-8763-0,
389,1000,Digital Fundamentals 8E,Floyd and Jain,Pearson Education,,978-81-775-8763-0,
390,469,Digital Image Processing 3E,Rafael C Gonzalez,PEARSON PUBLICATIONS,006.6 GON-D ;3E,978-81-317-2695-2,495
391,640,Digital Logic & Computer Design,M.Morris Mano,PHI,621.395 MAN-D,81-203-0417-9,250
392,345,Digital Logic And Computer Design,M.Morris Mano,Prentice Hall Of India,621.395  MAN-D,81-203-0417-9,
393,152,Digital Logic And Computer Design,M.Morris Mano,Phi,621.395 MAN-D,978-81-203-0417-8,250
394,1100,Digital Logic and Computer Design,M. Morris Mano,Pearson Education Pvt. Ltd.,,978-93-325-4252-5,679/-
395,179,Digital Logic Design 4E,Brian Holdsworth,Elsevier India Pvt Ltd,621.395 HOL-D;4E,978-81-312-0062-9,595
396,341,Digital Principles And Design,Donald D.Givone,Tata Mcgraw Hill,621.39  GIV-D,0-07-052906-X,365
397,736,Digital Signal Processing,S Salivahanan,Tata Mc Graw-Hill,621.382 2 SAL-D,0-07-4639996-X,
398,722,Digital Signal Processing,Dr D Ganesh Rao,Sanguine Techinical publishers,621.382 2 GAN-D,81-88849-08-1,375
399,530,Digital Signal Processing 1E,A. Nagoor Kani,RBA PUBLICATIONS,621.382 2 KAN-D;1E,,325
400,1030,Digital Signal Processing 1E,A. NAGOOR KANI,RBA,621.382 2 KAN-D;1E,,
401,1031,Digital Signal Processing 1E,A. NAGOOR KANI,RBA,621.382 2 KAN-D;1E,,
402,319,Digital Signal Processing 2E,P Ramesh Babu,Scitech publi (india) pvt ltd,621.382 2 BAB-D;2E,81 87328 52 5,295
403,253,Digital Signal Processing 4E,P Ramesh Babu,RBA Publi,621.382 2 BAB-D;4E,978 81 8371 081 7,395
404,268,Digital Signal Processing 4E,P Ramesh Babu,Scitech publi (india) pvt ltd,621.382 2 BAB-D;4E,978 81 8371 081 7,370
405,274,Digital Signal Processing 4E,P Ramesh Babu,Scitech publi (india) pvt ltd,621.382 2 BAB-D;4E,978 81 8371 081 7,370
406,723,Digital Signal Processing 4E,P Ramesh Babu,Scitech publi (india) pvt ltd,621.382 2 BAB-D;4E,978 81 8371 081 7,370
407,182,Digital Signal Processing 4E,John G .Proakis,PHI,621.382 2 PRO-D;4E,978-81-203-30306,395
408,631,Digital Signal Processing 4E,P.Ramesh Babu,SCITECH PUBLICATIONS,621.382 2 BAB-D;4E,978-81-8371-081-7,395
409,658,Digital Signal Processing 4E,P.Ramesh Babu,SCITECH PUBLICATIONS,621.382 2 BAB-D;4E,978-81-8371-081-7,395
410,673,Digital Signal Processing 4E,P.Ramesh Babu,SCITECH PUBLICATIONS,621.382 2 BAB-D,978-81-8371-081-7,395
411,682,Digital Signal Processing 4E,P.Ramesh Babu,SCITECH PUBLICATIONS,621.382 2 BAB-D;4E,978-81-8371-081-7,395
412,701,Digital Signal Processing 4E,P.Ramesh Babu,SCITECH PUBLICATIONS,621.382 2 BAB-D;4E,978-81-8371-081-7,395
413,851,Digital Signal Processing 4E,P Ramesh Babu,Scitech publi (india) pvt ltd,621.382 2 BAB-D;4E,978-81-8371-081-7,410
414,1035,DIGITAL SYSTEM DESIGN USING VHDL,"CHARLES H ROTH, LIZY KURIAN JOHN",Cengage learning,,978-81-315-1830-4,450
415,1036,DIGITAL SYSTEM DESIGN USING VHDL,"CHARLES H ROTH, LIZY KURIAN JOHN",Cengage learning,,978-81-315-1830-4,450
416,490,Digital Systems Principles And Applications 10E,"Ronald J. Tocci,Neal S. Widmer & Gregory L.Moss",Pearson Education,621.39 TOC-D;10E,978-81-317-2724-9,599
417,578,Discrete Mathematical Structures 6E,"Kolman,Busby,Rose",PHI,511.1 KOL-D;6E,978-81-203-3689-6,375
418,1016,Discrete Mathematical Structures with Applications to Computer Science,"J P Tremblay, R Manohar",Mc Graw Hill,511.1TRE-D,978-0-07-463113-3,469
419,1017,Discrete Mathematical Structures with Applications to Computer Science,"J P Tremblay, R Manohar",Mc Graw Hill,511.1TRE-D,978-0-07-463113-3,469
420,1018,Discrete Mathematical Structures with Applications to Computer Science,"J P Tremblay, R Manohar",Mc Graw Hill,511.1TRE-D,978-0-07-463113-3,469
421,1019,Discrete Mathematical Structures with Applications to Computer Science,"J P Tremblay, R Manohar",Mc Graw Hill,511.1TRE-D,978-0-07-463113-3,469
422,50,Discrete Mathematics & Graph Theory,Purna Chandra Biswal,PHI,511.1  CHA-D,81-203-2721-7,225
423,810,Discrete Mathematics For Computer Scientists & Mathematicians,"Joe L Matt, Abraham Kandel",PHI,511.1 MOT-D;2E,978-81-203-1502-0,350
424,842,"Distributed Computing  Fundamentals, Simulations, & Advanced Topics 2E","Hagit Attiya, Jennifer Welch",WILEY INDIA EDITION,004.36 ATT-D;2E,978-81-265-0916-4,
425,837,Distributed Computing Principles And Applications,M L Liu,Pearson Education,004.36 LIU-D,978-81-317-1332-7,
426,444,Distributed Operating Systems And Algorithem Analysis,Randy Chow And Theodore Johnson,Pearson Education,005.4476 CHO-D,978-81-317-2859-8,475
427,476,Distributed Systems Architecture,"Arno Puder , Kay Romer",ELSEVIER INDIA PVT LTD,005.447 6 PUD-D,978-81-312-1665-1,295
428,548,Distributed Systems Concepts And Design 4E,"George Coulouris, Jean Dollimore, Tim Kindberg",PEARSON PUBLICATIONS,004.350 - 5 COU- D;4E,978-81-317-1840-7,
429,1028,Distributed Systems Concepts And Design 4E,"George Coulouris, Jean Dollimore, Tim Kindberg",PEARSON PUBLICATIONS,004.350 - 5 COU- D;4E,978-81-317-1840-7,
430,1029,Distributed Systems Concepts And Design 4E,"George Coulouris, Jean Dollimore, Tim Kindberg",PEARSON PUBLICATIONS,004.350 - 5 COU- D;4E,978-81-317-1840-7,
431,1076,Distributed Systems Concepts and Design 4E,"George Coulouris, Jean Dollimore, Tim Kindberg",Pearson,,978-81-317-1840-7,
432,794,"Distributed Systems, An Algorithmic Approach",Sukumar Ghosh,Special Indian Edition,004.36GHO-D,1-58488-564-5,525
433,266,Dot Net Framework With Asp.Net & C#,Manish Sharma,Dhanpat Rai & Co,004.6 SHA-D,,225
434,426,"E Commerce Business,Techonology.Society 2008 4E",Kenneth C. Laudon & Carol Guercio Traver,Pearson Education,004.69 LAU-E;4E,978-81-317-2541-2,
435,360,E-Commerce Developers Guide,Noel Jerke,BPB publications,658.872  JER-E,81-7656-411-7,270
436,691,Eelectronics Lab Manual,K.A.Navas,Rajath Publishers,621.381 078  NAV-ELE.1,,170
437,692,Eelectronics Lab Manual,K.A.Navas,Rajath Publishers,621.381 078  NAV-ELE.1,,170
438,698,Eelectronics Lab Manual,K.A.Navas,Rajath Publishers,621.381 078  NAV-ELE.1,,170
439,726,Eelectronics Lab Manual,K.A.Navas,Rajath Publishers,621.381 078  NAV-ELE.1,,170
440,727,Eelectronics Lab Manual,K.A.Navas,Rajath Publishers,621.381 078  NAV-ELE.1,,170
441,340,Eelectronics Lab Manual;4E,K.A.Navas,Rajath publishers,621.381 078  NAV-ELE.1;4E,,170
442,666,Eelectronics Lab Manual;4E,K.A.Navas,Rajath publishers,621.381 078  NAV-ELE.1;4E,,170
443,422,Electronic Commerce A Managers Guide,"Ravi Kalakota,Andrew B Whinston",Pearson Education,004.69 KAL-E,978-81-7758-316-8,
444,642,Electronic Communication System 4E,Kennedy,TATA MCGRAW HILL,621.382 02 KEN-E;4E,0-07-463682-0,
445,704,Electronic Communication System 4E,Kennedy,Tata Mcgraw-Hill,621.382 02 KEN-E;4E,978-0-07-463682-4,375
446,776,Electronic Communication Systems 5E,Wayne Tomasi,Pearson Education,621.382 02 TOM-E;5E,81-7758-264-X,499
